Route Index: 1 - Episode: 36 - 0h, 6m, 27s - Average Reward -37.95 - Average IR 0.502 - Epsilon: 0.689
Route Index: 3 - Episode: 35 - 0h, 6m, 20s - Average Reward -37.962 - Average IR 0.503 - Epsilon: 0.696
Route Index: 0 - Episode: 37 - 0h, 6m, 36s - Average Reward -38.037 - Average IR 0.502 - Epsilon: 0.683
Route Index: 2 - Episode: 36 - 0h, 6m, 30s - Average Reward -37.474 - Average IR 0.5 - Epsilon: 0.689
Route Index: 4 - Episode: 35 - 0h, 6m, 20s - Average Reward -37.518 - Average IR 0.5 - Epsilon: 0.696
Route Index: 1 - Episode: 37 - 0h, 6m, 38s - Average Reward -37.946 - Average IR 0.501 - Epsilon: 0.683
Route Index: 3 - Episode: 36 - 0h, 6m, 30s - Average Reward -38.143 - Average IR 0.505 - Epsilon: 0.689
Route Index: 0 - Episode: 38 - 0h, 6m, 46s - Average Reward -38.102 - Average IR 0.501 - Epsilon: 0.676
Route Index: 2 - Episode: 37 - 0h, 6m, 41s - Average Reward -37.49 - Average IR 0.498 - Epsilon: 0.683
Route Index: 4 - Episode: 36 - 0h, 6m, 31s - Average Reward -37.497 - Average IR 0.502 - Epsilon: 0.689
Route Index: 1 - Episode: 38 - 0h, 6m, 48s - Average Reward -37.907 - Average IR 0.5 - Epsilon: 0.676
Route Index: 3 - Episode: 37 - 0h, 6m, 41s - Average Reward -38.046 - Average IR 0.504 - Epsilon: 0.683
Route Index: 0 - Episode: 39 - 0h, 6m, 56s - Average Reward -38.16 - Average IR 0.501 - Epsilon: 0.669
Route Index: 2 - Episode: 38 - 0h, 6m, 51s - Average Reward -37.455 - Average IR 0.498 - Epsilon: 0.676
Route Index: 4 - Episode: 37 - 0h, 6m, 41s - Average Reward -37.486 - Average IR 0.501 - Epsilon: 0.683
Route Index: 1 - Episode: 39 - 0h, 6m, 58s - Average Reward -37.92 - Average IR 0.5 - Epsilon: 0.669
Route Index: 3 - Episode: 38 - 0h, 6m, 51s - Average Reward -37.899 - Average IR 0.504 - Epsilon: 0.676
Route Index: 0 - Episode: 40 - 0h, 7m, 7s - Average Reward -38.163 - Average IR 0.502 - Epsilon: 0.662
Route Index: 2 - Episode: 39 - 0h, 7m, 1s - Average Reward -37.488 - Average IR 0.498 - Epsilon: 0.669
Route Index: 4 - Episode: 38 - 0h, 6m, 51s - Average Reward -37.444 - Average IR 0.501 - Epsilon: 0.676
Route Index: 1 - Episode: 40 - 0h, 7m, 8s - Average Reward -37.939 - Average IR 0.501 - Epsilon: 0.662
Route Index: 3 - Episode: 39 - 0h, 7m, 1s - Average Reward -37.941 - Average IR 0.504 - Epsilon: 0.669
Route Index: 0 - Episode: 41 - 0h, 7m, 17s - Average Reward -38.11 - Average IR 0.5 - Epsilon: 0.656
Route Index: 2 - Episode: 40 - 0h, 7m, 11s - Average Reward -37.531 - Average IR 0.499 - Epsilon: 0.662
Route Index: 4 - Episode: 39 - 0h, 7m, 2s - Average Reward -37.505 - Average IR 0.501 - Epsilon: 0.669
Route Index: 1 - Episode: 41 - 0h, 7m, 18s - Average Reward -37.881 - Average IR 0.499 - Epsilon: 0.656
Route Index: 3 - Episode: 40 - 0h, 7m, 11s - Average Reward -37.978 - Average IR 0.505 - Epsilon: 0.662
Route Index: 0 - Episode: 42 - 0h, 7m, 27s - Average Reward -38.186 - Average IR 0.502 - Epsilon: 0.649
Route Index: 2 - Episode: 41 - 0h, 7m, 21s - Average Reward -37.469 - Average IR 0.497 - Epsilon: 0.656
Route Index: 4 - Episode: 40 - 0h, 7m, 12s - Average Reward -37.539 - Average IR 0.502 - Epsilon: 0.662
Route Index: 1 - Episode: 42 - 0h, 7m, 29s - Average Reward -37.888 - Average IR 0.501 - Epsilon: 0.649
Route Index: 3 - Episode: 41 - 0h, 7m, 22s - Average Reward -38.01 - Average IR 0.503 - Epsilon: 0.656
Route Index: 0 - Episode: 43 - 0h, 7m, 38s - Average Reward -38.073 - Average IR 0.501 - Epsilon: 0.643
Route Index: 2 - Episode: 42 - 0h, 7m, 32s - Average Reward -37.488 - Average IR 0.499 - Epsilon: 0.649
Route Index: 4 - Episode: 41 - 0h, 7m, 22s - Average Reward -37.468 - Average IR 0.5 - Epsilon: 0.656
Route Index: 1 - Episode: 43 - 0h, 7m, 39s - Average Reward -37.895 - Average IR 0.5 - Epsilon: 0.643
Route Index: 3 - Episode: 42 - 0h, 7m, 32s - Average Reward -37.928 - Average IR 0.505 - Epsilon: 0.649
Route Index: 0 - Episode: 44 - 0h, 7m, 48s - Average Reward -38.1 - Average IR 0.503 - Epsilon: 0.636
Route Index: 2 - Episode: 43 - 0h, 7m, 42s - Average Reward -37.528 - Average IR 0.497 - Epsilon: 0.643
Route Index: 4 - Episode: 42 - 0h, 7m, 32s - Average Reward -37.458 - Average IR 0.502 - Epsilon: 0.649
Route Index: 1 - Episode: 44 - 0h, 7m, 49s - Average Reward -37.934 - Average IR 0.502 - Epsilon: 0.636
Route Index: 3 - Episode: 43 - 0h, 7m, 42s - Average Reward -37.974 - Average IR 0.503 - Epsilon: 0.643
Route Index: 0 - Episode: 45 - 0h, 7m, 58s - Average Reward -38.143 - Average IR 0.502 - Epsilon: 0.63
Route Index: 2 - Episode: 44 - 0h, 7m, 52s - Average Reward -37.536 - Average IR 0.5 - Epsilon: 0.636
Route Index: 4 - Episode: 43 - 0h, 7m, 43s - Average Reward -37.501 - Average IR 0.5 - Epsilon: 0.643
Route Index: 1 - Episode: 45 - 0h, 8m, 0s - Average Reward -37.908 - Average IR 0.501 - Epsilon: 0.63
Route Index: 3 - Episode: 44 - 0h, 7m, 53s - Average Reward -37.984 - Average IR 0.505 - Epsilon: 0.636
Route Index: 0 - Episode: 46 - 0h, 8m, 9s - Average Reward -38.176 - Average IR 0.503 - Epsilon: 0.624
Route Index: 2 - Episode: 45 - 0h, 8m, 3s - Average Reward -37.454 - Average IR 0.498 - Epsilon: 0.63
